file_id,model,seed,polarity,intensity,negative_probability,neutral_probability,positive_probability
附件3_01,temporal,20260924,Neutral,0.028689146041870117,0.2592545449733734,0.4326730966567993,0.30807235836982727
附件3_02,temporal,20260924,Neutral,-0.05709098279476166,0.1893494874238968,0.5916849970817566,0.2189655601978302
附件3_03,temporal,20260924,Neutral,0.19103297591209412,0.09078045189380646,0.5374048948287964,0.37181466817855835
附件3_04,temporal,20260924,Positive,0.6026819348335266,0.0659671276807785,0.22647517919540405,0.7075576782226562
附件3_05,temporal,20260924,Negative,-0.423054039478302,0.5749444365501404,0.24371123313903809,0.18134433031082153
附件3_06,temporal,20260924,Positive,0.7900370955467224,0.02010156773030758,0.16594289243221283,0.813955545425415
附件3_07,temporal,20260924,Neutral,0.11564561724662781,0.1878403127193451,0.4511510133743286,0.3610086143016815
附件3_08,temporal,20260924,Neutral,0.07395149022340775,0.19680438935756683,0.44689252972602844,0.35630306601524353
附件3_09,temporal,20260924,Positive,1.22413969039917,0.005049702245742083,0.04928876459598541,0.9456615447998047
附件3_10,temporal,20260924,Neutral,-0.10423544049263,0.14477379620075226,0.6803767681121826,0.17484942078590393
附件3_11,temporal,20260924,Positive,0.2905292212963104,0.10505735129117966,0.3801446855068207,0.5147980451583862
附件3_12,temporal,20260924,Positive,0.2430863231420517,0.13371911644935608,0.39724451303482056,0.469036340713501
附件3_13,temporal,20260924,Positive,0.3580726385116577,0.09399140626192093,0.3787185251712799,0.5272901058197021
附件3_14,temporal,20260924,Negative,-0.27258455753326416,0.5272323489189148,0.2999228835105896,0.1728447526693344
附件3_15,temporal,20260924,Positive,0.8229207396507263,0.014010407961905003,0.13005709648132324,0.8559324741363525
附件3_16,temporal,20260924,Positive,1.632666826248169,0.0017974413931369781,0.00806979089975357,0.9901328086853027
附件3_17,temporal,20260924,Neutral,-0.16535761952400208,0.3302481472492218,0.4434715211391449,0.22628027200698853
附件3_18,temporal,20260924,Positive,0.4009217321872711,0.1032639816403389,0.31638601422309875,0.5803500413894653
附件3_19,temporal,20260924,Neutral,-0.1090463399887085,0.3021920621395111,0.4529293179512024,0.2448785901069641
附件3_20,temporal,20260924,Neutral,0.06294749677181244,0.15914824604988098,0.5234960913658142,0.3173556923866272
附件3_21,temporal,20260924,Positive,0.5794116854667664,0.036208219826221466,0.2421099990606308,0.7216817736625671
附件3_22,temporal,20260924,Positive,0.27500101923942566,0.16114024817943573,0.302241712808609,0.5366180539131165
附件3_23,temporal,20260924,Positive,0.479373574256897,0.04120495542883873,0.3678635060787201,0.5909314751625061
附件3_24,temporal,20260924,Positive,0.5043847560882568,0.14876294136047363,0.22211746871471405,0.6291195750236511
附件3_25,temporal,20260924,Neutral,0.40149232745170593,0.06885895878076553,0.4751185178756714,0.4560225009918213
附件3_26,temporal,20260924,Positive,0.6085302829742432,0.05797850713133812,0.17961463332176208,0.7624068260192871
附件3_27,temporal,20260924,Positive,0.5674407482147217,0.058758821338415146,0.2495698630809784,0.6916713118553162
附件3_28,temporal,20260924,Positive,0.3911554217338562,0.05112677440047264,0.37403884530067444,0.5748343467712402
附件3_29,temporal,20260924,Positive,0.513883650302887,0.07751662284135818,0.24501462280750275,0.6774687170982361
附件3_30,temporal,20260924,Neutral,0.1234101802110672,0.17229072749614716,0.4544070065021515,0.3733022212982178
附件3_01,temporal,20260925,Negative,-0.30211374163627625,0.470971018075943,0.3195553719997406,0.2094736546278
附件3_02,temporal,20260925,Neutral,-0.09450515359640121,0.19884243607521057,0.5277236700057983,0.2734338939189911
附件3_03,temporal,20260925,Neutral,-0.07436295598745346,0.1279820203781128,0.5512531995773315,0.32076478004455566
附件3_04,temporal,20260925,Positive,0.4619625508785248,0.0889032706618309,0.22990117967128754,0.6811954975128174
附件3_05,temporal,20260925,Negative,-0.8679819107055664,0.8172070384025574,0.10848211497068405,0.07431085407733917
附件3_06,temporal,20260925,Positive,0.5303058624267578,0.030193200334906578,0.276673823595047,0.6931329369544983
附件3_07,temporal,20260925,Positive,0.15220806002616882,0.181264266371727,0.3393559455871582,0.4793797731399536
附件3_08,temporal,20260925,Neutral,-0.23747724294662476,0.266141414642334,0.4449831247329712,0.2888754904270172
