file_id,word_1based,word,char_start,char_end,start_s,end_s,mean_ctc_probability,alignment_status
01,1,Replacing,0,9,0.5,0.9400000000000001,0.9792557521299883,automatic_candidate
01,2,these,10,15,1.0,1.1400000000000001,0.9564437866210938,automatic_candidate
01,3,wear,16,20,1.22,1.4000000000000001,0.7433590888977051,automatic_candidate
01,4,components,21,31,1.48,1.96,0.9872511128584543,automatic_candidate
01,5,when,32,36,1.98,2.1,0.9623580813407898,automatic_candidate
01,6,replacing,37,46,2.16,2.58,0.9969093095172535,automatic_candidate
01,7,the,47,50,2.62,2.68,0.9113440910975138,automatic_candidate
01,8,timing,51,57,2.72,3.0,0.5426855956514677,automatic_candidate
01,9,belt,58,62,3.04,3.22,0.9996217340230942,automatic_candidate
01,10,is,63,65,3.6,3.68,0.9336816469828287,automatic_candidate
01,11,essential,66,75,3.7800000000000002,4.26,0.999605213602384,automatic_candidate
01,12,to,76,78,4.44,4.5200000000000005,0.9999343752861023,automatic_candidate
01,13,ensuring,79,87,4.64,5.0200000000000005,0.9157848060131073,automatic_candidate
01,14,the,88,91,5.1000000000000005,5.18,0.9849613308906555,automatic_candidate
01,15,new,92,95,5.24,5.36,0.9994281133015951,automatic_candidate
01,16,belt,96,100,5.48,5.7,0.998194674650828,automatic_candidate
01,17,performs,101,109,6.16,6.7,0.9338895190845836,automatic_candidate
01,18,to,110,112,6.84,6.92,0.9999056458473206,automatic_candidate
01,19,its,113,116,7.04,7.140000000000001,0.9831286072731018,automatic_candidate
01,20,mileage,117,124,7.24,7.62,0.6603730634919235,automatic_candidate
01,21,requirements,125,137,7.68,8.26,0.9698357476907618,automatic_candidate
02,1,We,0,2,0.48,0.54,0.9989749193191528,automatic_candidate
02,2,want,3,7,0.6,0.7000000000000001,0.9965192794799804,automatic_candidate
02,3,to,8,10,0.74,0.78,0.9953859746456146,automatic_candidate
02,4,live,11,15,0.8200000000000001,0.9400000000000001,0.9994575530290604,automatic_candidate
02,5,by,16,18,0.98,1.04,0.9989389181137085,automatic_candidate
