file_id,modality,position_0based,text_fragment,class_probability_delta,word_1based,word,start_s,end_s,video_frame_0based,video_frame_time_s,mapping_status
01,audio,3,wear,0.020529955625534058,3,wear,1.22,1.4000000000000001,39,1.3,automatic_candidate
01,audio,4,components,0.01904013752937317,4,components,1.48,1.96,52,1.733333,automatic_candidate
01,audio,2,these,0.015291780233383179,2,these,1.0,1.1400000000000001,32,1.066667,automatic_candidate
01,audio,5,when,0.012666523456573486,5,when,1.98,2.1,61,2.033333,automatic_candidate
01,audio,9,belt,0.012171506881713867,9,belt,3.04,3.22,94,3.133333,automatic_candidate
01,audio,16,belt,0.011758118867874146,16,belt,5.48,5.7,168,5.6,automatic_candidate
01,audio,1,Replacing,0.011613816022872925,1,Replacing,0.5,0.9400000000000001,22,0.733333,automatic_candidate
01,audio,8,timing,0.011525243520736694,8,timing,2.72,3.0,86,2.866667,automatic_candidate
01,audio,22,requirements,0.010595142841339111,21,requirements,7.68,8.26,239,7.966667,automatic_candidate
01,audio,7,the,0.010327309370040894,7,the,2.62,2.68,80,2.666667,automatic_candidate
01,text,15,new,0.010259091854095459,15,new,5.24,5.36,159,5.3,automatic_candidate
01,audio,17,performs,0.009784460067749023,17,performs,6.16,6.7,193,6.433333,automatic_candidate
01,text,5,when,-0.009711146354675293,5,when,1.98,2.1,61,2.033333,automatic_candidate
01,text,3,wear,-0.009137183427810669,3,wear,1.22,1.4000000000000001,39,1.3,automatic_candidate
01,text,4,components,-0.009047180414199829,4,components,1.48,1.96,52,1.733333,automatic_candidate
01,audio,18,to,0.008680641651153564,18,to,6.84,6.92,206,6.866667,automatic_candidate
01,text,13,ensuring,0.007987767457962036,13,ensuring,4.64,5.0200000000000005,145,4.833333,automatic_candidate
01,vision,4,components,-0.00797128677368164,4,components,1.48,1.96,52,1.733333,automatic_candidate
01,audio,15,new,0.007564365863800049,15,new,5.24,5.36,159,5.3,automatic_candidate
01,audio,11,essential,0.007528811693191528,11,essential,3.7800000000000002,4.26,121,4.033333,automatic_candidate
01,audio,19,its,0.007349729537963867,19,its,7.04,7.140000000000001,213,7.1,automatic_candidate
01,text,22,requirements,-0.007214099168777466,21,requirements,7.68,8.26,239,7.966667,automatic_candidate
01,audio,14,the,0.006819695234298706,14,the,5.1000000000000005,5.18,154,5.133333,automatic_candidate
01,audio,6,replacing,0.006359279155731201,6,replacing,2.16,2.58,71,2.366667,automatic_candidate
01,vision,3,wear,-0.005829453468322754,3,wear,1.22,1.4000000000000001,39,1.3,automatic_candidate
01,audio,10,is,0.005750119686126709,10,is,3.6,3.68,109,3.633333,automatic_candidate
01,audio,21,mileage,0.005732029676437378,20,mileage,7.24,7.62,223,7.433333,automatic_candidate
01,audio,12,to,0.005678534507751465,12,to,4.44,4.5200000000000005,134,4.466667,automatic_candidate
01,text,9,belt,-0.005584627389907837,9,belt,3.04,3.22,94,3.133333,automatic_candidate
01,audio,13,ensuring,0.005529969930648804,13,ensuring,4.64,5.0200000000000005,145,4.833333,automatic_candidate
01,text,18,to,0.005113512277603149,18,to,6.84,6.92,206,6.866667,automatic_candidate
01,vision,2,these,-0.004590630531311035,2,these,1.0,1.1400000000000001,32,1.066667,automatic_candidate
01,text,16,belt,0.004318416118621826,16,belt,5.48,5.7,168,5.6,automatic_candidate
01,text,14,the,0.003979623317718506,14,the,5.1000000000000005,5.18,154,5.133333,automatic_candidate
01,vision,5,when,-0.003938406705856323,5,when,1.98,2.1,61,2.033333,automatic_candidate
01,text,7,the,-0.0038163363933563232,7,the,2.62,2.68,80,2.666667,automatic_candidate
01,audio,20,mileage,0.0037565529346466064,20,mileage,7.24,7.62,223,7.433333,automatic_candidate
01,text,20,mileage,0.003484874963760376,20,mileage,7.24,7.62,223,7.433333,automatic_candidate
01,vision,6,replacing,-0.00324973464012146,6,replacing,2.16,2.58,71,2.366667,automatic_candidate
01,text,12,to,0.00319710373878479,12,to,4.44,4.5200000000000005,134,4.466667,automatic_candidate
01,vision,8,timing,-0.0031377673149108887,8,timing,2.72,3.0,86,2.866667,automatic_candidate
01,text,6,replacing,0.0020586252212524414,6,replacing,2.16,2.58,71,2.366667,automatic_candidate
01,vision,1,Replacing,-0.0020366311073303223,1,Replacing,0.5,0.9400000000000001,22,0.733333,automatic_candidate
01,vision,7,the,-0.001998335123062134,7,the,2.62,2.68,80,2.666667,automatic_candidate
01,text,17,performs,0.0019219517707824707,17,performs,6.16,6.7,193,6.433333,automatic_candidate
01,vision,11,essential,-0.0018535256385803223,11,essential,3.7800000000000002,4.26,121,4.033333,automatic_candidate
01,vision,10,is,-0.0018438994884490967,10,is,3.6,3.68,109,3.633333,automatic_candidate
01,vision,12,to,-0.0018128752708435059,12,to,4.44,4.5200000000000005,134,4.466667,automatic_candidate
01,vision,13,ensuring,-0.0012801587581634521,13,ensuring,4.64,5.0200000000000005,145,4.833333,automatic_candidate
01,vision,22,requirements,0.0012302994728088379,21,requirements,7.68,8.26,239,7.966667,automatic_candidate
01,text,11,essential,-0.0010669529438018799,11,essential,3.7800000000000002,4.26,121,4.033333,automatic_candidate
01,vision,9,belt,-0.0009660720825195312,9,belt,3.04,3.22,94,3.133333,automatic_candidate
01,vision,21,mileage,0.0008134841918945312,20,mileage,7.24,7.62,223,7.433333,automatic_candidate
01,vision,18,to,-0.0007923245429992676,18,to,6.84,6.92,206,6.866667,automatic_candidate
01,vision,19,its,0.0007193684577941895,19,its,7.04,7.140000000000001,213,7.1,automatic_candidate
01,vision,16,belt,0.0007125139236450195,16,belt,5.48,5.7,168,5.6,automatic_candidate
01,vision,15,new,-0.0006944239139556885,15,new,5.24,5.36,159,5.3,automatic_candidate
01,vision,17,performs,0.0006749927997589111,17,performs,6.16,6.7,193,6.433333,automatic_candidate
01,text,1,Replacing,0.0005269944667816162,1,Replacing,0.5,0.9400000000000001,22,0.733333,automatic_candidate
01,text,19,its,-0.0005146563053131104,19,its,7.04,7.140000000000001,213,7.1,automatic_candidate
01,text,2,these,-0.00042110681533813477,2,these,1.0,1.1400000000000001,32,1.066667,automatic_candidate
01,vision,20,mileage,0.0003611743450164795,20,mileage,7.24,7.62,223,7.433333,automatic_candidate
01,text,10,is,0.0003319978713989258,10,is,3.6,3.68,109,3.633333,automatic_candidate
01,vision,14,the,0.0003266632556915283,14,the,5.1000000000000005,5.18,154,5.133333,automatic_candidate
01,text,8,timing,0.00021833181381225586,8,timing,2.72,3.0,86,2.866667,automatic_candidate
01,text,21,mileage,-0.00011554360389709473,20,mileage,7.24,7.62,223,7.433333,automatic_candidate
02,text,18,misery,-0.11447995901107788,14,misery.,2.48,2.7600000000000002,79,2.633333,automatic_candidate
02,text,3,to,0.11068278551101685,3,to,0.74,0.78,23,0.766667,automatic_candidate
02,text,2,want,0.06959199905395508,2,want,0.6,0.7000000000000001,19,0.633333,automatic_candidate
02,audio,18,misery,0.06443533301353455,14,misery.,2.48,2.7600000000000002,79,2.633333,automatic_candidate
02,text,4,live,0.05493101477622986,4,live,0.8200000000000001,0.9400000000000001,26,0.866667,automatic_candidate
02,text,10,happiness,0.04829299449920654,8,happiness,1.44,1.8,49,1.633333,automatic_candidate
02,text,9,s,0.03827577829360962,7,other’s,1.24,1.42,40,1.333333,automatic_candidate
02,text,5,by,0.030559122562408447,5,by,0.98,1.04,30,1.0,automatic_candidate
02,vision,18,misery,-0.024636805057525635,14,misery.,2.48,2.7600000000000002,79,2.633333,automatic_candidate
02,vision,17,s,-0.0207594633102417,13,other’s,2.24,2.44,70,2.333333,automatic_candidate
02,text,11,-,0.020580142736434937,9,-,,,,,unmapped
02,vision,3,to,-0.01524442434310913,3,to,0.74,0.78,23,0.766667,automatic_candidate
02,vision,19,.,-0.01448976993560791,14,misery.,2.48,2.7600000000000002,79,2.633333,automatic_candidate
02,text,6,each,0.014387965202331543,6,each,1.1,1.18,34,1.133333,automatic_candidate
02,vision,12,not,-0.014018118381500244,10,not,1.82,1.92,56,1.866667,automatic_candidate
02,audio,12,not,0.013882309198379517,10,not,1.82,1.92,56,1.866667,automatic_candidate
02,vision,2,want,-0.013328850269317627,2,want,0.6,0.7000000000000001,19,0.633333,automatic_candidate
