file_id,word,start,end,normalized,start_s,end_s,ctc_score
01,Replacing,0,9,REPLACING,0.5,0.9400000000000001,0.9792557521299883
01,these,10,15,THESE,1.0,1.1400000000000001,0.9564437866210938
01,wear,16,20,WEAR,1.22,1.4000000000000001,0.7433590888977051
01,components,21,31,COMPONENTS,1.48,1.96,0.9872511128584543
01,when,32,36,WHEN,1.98,2.1,0.9623580813407898
01,replacing,37,46,REPLACING,2.16,2.58,0.9969093095172535
01,the,47,50,THE,2.62,2.68,0.9113440910975138
01,timing,51,57,TIMING,2.72,3.0,0.5426855956514677
01,belt,58,62,BELT,3.04,3.22,0.9996217340230942
01,is,63,65,IS,3.6,3.68,0.9336816469828287
01,essential,66,75,ESSENTIAL,3.7800000000000002,4.26,0.999605213602384
01,to,76,78,TO,4.44,4.5200000000000005,0.9999343752861023
01,ensuring,79,87,ENSURING,4.64,5.0200000000000005,0.9157848060131073
01,the,88,91,THE,5.1000000000000005,5.18,0.9849613308906555
01,new,92,95,NEW,5.24,5.36,0.9994281133015951
01,belt,96,100,BELT,5.48,5.7,0.998194674650828
01,performs,101,109,PERFORMS,6.16,6.7,0.9338895190845836
01,to,110,112,TO,6.84,6.92,0.9999056458473206
01,its,113,116,ITS,7.04,7.140000000000001,0.9831286072731018
01,mileage,117,124,MILEAGE,7.24,7.62,0.6603730634919235
01,requirements,125,137,REQUIREMENTS,7.68,8.26,0.9698357476907618
02,We,0,2,WE,0.48,0.54,0.9989749193191528
02,want,3,7,WANT,0.6,0.7000000000000001,0.9965192794799804
02,to,8,10,TO,0.74,0.78,0.9953859746456146
02,live,11,15,LIVE,0.8200000000000001,0.9400000000000001,0.9994575530290604
02,by,16,18,BY,0.98,1.04,0.9989389181137085
02,each,19,23,EACH,1.1,1.18,0.9999646544456482
02,other’s,24,31,OTHER'S,1.24,1.42,0.9922265211741129
02,happiness,32,41,HAPPINESS,1.44,1.8,0.947828471660614
02,-,42,43,,,,
02,not,44,47,NOT,1.82,1.92,0.9882098038991293
02,by,48,50,BY,1.98,2.04,0.9945650100708008
02,each,51,55,EACH,2.1,2.2,0.9710725307464599
02,other’s,56,63,OTHER'S,2.24,2.44,0.9791103336546156
02,misery.,64,71,MISERY,2.48,2.7600000000000002,0.9998610360281808
03,There's,0,7,THERE'S,0.5,0.72,0.9271586954593658
03,one,8,11,ONE,0.88,0.98,0.9366464018821716
03,lender,12,18,LENDER,1.04,1.4000000000000001,0.8508862107992172
03,at,19,21,AT,1.56,1.6,0.9960641264915466
03,the,22,25,THE,1.6400000000000001,1.72,0.9673292934894562
03,moment,26,32,MOMENT,1.78,2.08,0.9339805841445923
03,which,33,38,WHICH,2.16,2.2800000000000002,0.9999184727668762
03,I,39,40,I,2.34,2.36,0.9987843632698059
03,think,41,46,THINK,2.4,2.54,0.946689655383428
03,is,47,49,IS,2.6,2.7,0.719185471534729
03,just,50,54,JUST,2.72,2.88,0.9348793268203736
03,Bankwest,55,63,BANKWEST,3.0,3.68,0.9908823106024001
03,who,64,67,WHO,4.1,4.24,0.9944955110549927
03,don't,68,73,DON'T,4.5200000000000005,4.74,0.9817707879202706
03,take,74,78,TAKE,4.8,4.98,0.9966130137443543
03,rental,79,85,RENTAL,5.14,5.38,0.8308134271452824
03,income,86,92,INCOME,5.48,5.78,0.9380306303501129
03,into,93,97,INTO,5.9,6.12,0.9719708204269409
03,"account,",98,106,ACCOUNT,6.22,6.5200000000000005,0.9505185037851334
03,they,107,111,THEY,6.82,6.96,0.9240109324455261
03,take,112,116,TAKE,7.04,7.22,0.9184889793395996
03,rental,117,123,RENTAL,7.5,7.8,0.8818298857659101
03,yield,124,129,YIELD,7.98,8.34,0.9544812440872192
03,into,130,134,INTO,8.46,8.620000000000001,0.9991920590400696
03,account.,135,143,ACCOUNT,8.700000000000001,9.0,0.9680190483729044
04,If,0,2,IF,0.5,0.54,0.9998524487018585
04,I,3,4,I,0.62,0.64,0.9997227787971497
04,blow,5,9,BLOW,0.74,0.96,0.8692550286650658
04,it,10,12,IT,1.02,1.06,0.5422832071781158
04,at,13,15,AT,1.1,1.1400000000000001,0.9906851053237915
04,the,16,19,THE,1.18,1.24,0.9919420679410299
04,team,20,24,TEAM,1.28,1.44,0.9895863234996796
04,"exercise,",25,34,EXERCISE,1.54,1.96,0.9565378096368577
04,should,35,41,SHOULD,2.18,2.34,0.9683532459395272
04,I,42,43,I,2.38,2.4,0.9996510744094849
04,kiss,44,48,KISS,2.48,2.66,0.9997100681066513
04,my,49,51,MY,2.74,2.8000000000000003,0.9997332692146301
04,chances,52,59,CHANCES,2.9,3.24,0.9905398620499505
04,of,60,62,OF,3.3000000000000003,3.34,0.9980959594249725
04,cheering,63,71,CHEERING,3.4,3.68,0.9895650893449783
04,"""GO",72,75,GO,3.7800000000000002,3.88,0.7846291363239288
04,"BLUE""",76,81,BLUE,4.04,4.26,0.9835202813148498
04,goodbye?],82,91,GOODBYE,4.48,4.96,0.8689566195011139
04,Absolutely,92,102,ABSOLUTELY,5.44,5.94,0.9886890252431234
04,not.,103,107,NOT,6.0200000000000005,6.24,0.9902008771896362
05,"Hi,",0,3,HI,1.26,1.46,0.8172522187232971
05,my,4,6,MY,1.96,2.06,0.9998357594013214
05,name,7,11,NAME,2.12,2.24,0.9935943961143494
05,is,12,14,IS,2.3000000000000003,2.36,0.6115388174851736
05,"Chloe,",15,21,CHLOE,2.44,2.7600000000000002,0.863621711730957
05,video,22,27,VIDEO,3.22,3.52,0.7658725954592228
05,marketer,28,36,MARKETER,3.62,4.0200000000000005,0.945410815152255
05,for,37,40,FOR,4.16,4.26,0.9993890126546224
05,Red,41,44,RED,4.38,4.5600000000000005,0.9908563494682312
05,Wagon,45,50,WAGON,4.64,4.92,0.67528315782547
05,Marketing.,51,61,MARKETING,4.98,5.44,0.8301487244092501
06,If,0,2,IF,0.54,0.6,0.9191365440686544
06,you're,3,9,YOU'RE,0.62,0.76,0.7416129236419996
06,a,10,11,A,0.78,0.8,0.002973963739350438
06,fan,12,15,FAN,0.8200000000000001,0.9400000000000001,0.629878384526819
06,of,16,18,OF,1.02,1.06,0.8888170719146729
06,dancing,19,26,DANCING,1.1,1.48,0.9774479203754001
06,in,27,29,IN,1.54,1.58,0.9210539758205414
06,that,30,34,THAT,1.6400000000000001,1.78,0.980158019065857
06,"sense,",35,41,SENSE,1.84,2.08,0.9340673585732778
06,just,42,46,JUST,2.14,2.3000000000000003,0.9847059746583303
06,like,47,51,LIKE,2.34,2.46,0.998178094625473
06,to,52,54,TO,2.52,2.58,0.7301135659217834
06,watch,55,60,WATCH,2.66,2.86,0.9852395753065745
06,people,61,67,PEOPLE,2.94,3.16,0.9308430637632098
06,"dance,",68,74,DANCE,3.22,3.52,0.9994395871957144
06,see,75,78,SEE,3.72,3.86,0.9910948276519775
06,impressive,79,89,IMPRESSIVE,3.96,4.4,0.9333701592225295
