file_id,sample_id,modality,position_0based,class_probability_delta,intensity_delta,candidate_gate_time,candidate_top1,text_char_start,text_char_end,text_fragment
01,01,text,15,-0.01558619737625122,0.02381722629070282,0.02699914574623108,False,92,95,new
01,01,text,18,-0.011698782444000244,0.015578195452690125,0.02894444949924946,False,110,112,to
01,01,text,14,-0.01089388132095337,0.01745261251926422,0.019739726558327675,False,88,91,the
01,01,audio,3,-0.01059025526046753,0.010900765657424927,0.018274137750267982,False,16,20,wear
01,01,audio,4,-0.010428130626678467,0.008209675550460815,0.01544529851526022,False,21,31,components
01,01,text,9,0.01028507947921753,-0.0027629435062408447,0.02067435346543789,False,58,62,belt
01,01,text,13,-0.009530127048492432,0.02141086757183075,0.021834539249539375,False,79,87,ensuring
01,01,audio,9,-0.009107708930969238,0.004063695669174194,0.009901202283799648,False,58,62,belt
01,01,vision,17,-0.0085221529006958,0.004228845238685608,0.01593208499252796,False,101,109,performs
01,01,audio,15,0.008510470390319824,-0.01293259859085083,0.011769830249249935,False,92,95,new
01,01,text,22,0.008494257926940918,-0.006746932864189148,0.019419118762016296,False,125,137,requirements
01,01,text,12,-0.008108198642730713,0.01553305983543396,0.02278939075767994,False,76,78,to
01,01,audio,22,-0.008002877235412598,0.005119532346725464,0.01576763577759266,False,125,137,requirements
01,01,vision,16,-0.007726728916168213,0.003959551453590393,0.013265642337501049,False,96,100,belt
01,01,audio,2,-0.007712841033935547,0.007063716650009155,0.01277827750891447,False,10,15,these
01,01,audio,5,-0.007068991661071777,0.0038498789072036743,0.013292414136230946,False,32,36,when
01,01,audio,8,-0.0066686272621154785,0.0008478760719299316,0.011183417402207851,False,51,57,timing
01,01,audio,1,-0.0065615177154541016,0.008424907922744751,0.011448230594396591,False,0,9,Replacing
01,01,vision,19,-0.006378114223480225,0.0022916942834854126,0.013990982435643673,False,113,116,its
01,01,vision,18,-0.006298065185546875,0.0013071000576019287,0.015490996651351452,False,110,112,to
01,01,text,19,-0.005921125411987305,0.0065361857414245605,0.01883404515683651,False,113,116,its
01,01,text,4,0.005706369876861572,-0.005481034517288208,0.017925800755620003,False,21,31,components
01,01,audio,18,0.0056002140045166016,-0.009315475821495056,0.01387049164623022,False,110,112,to
01,01,text,5,0.0050925612449646,-0.004223152995109558,0.01785016991198063,False,32,36,when
01,01,vision,20,-0.004449725151062012,0.001065090298652649,0.012872360646724701,False,117,124,mileage
