file_id,sample_id,modality,position_0based,candidate_gate_time,candidate_top1,class_probability_delta,intensity_delta,text_char_start,text_char_end,text_fragment
01,01,audio,3,0.020257221534848213,True,0.020529955625534058,0.014157533645629883,16,20,wear
01,01,audio,4,0.019720857962965965,False,0.01904013752937317,0.013558804988861084,21,31,components
01,01,audio,2,0.014880307018756866,False,0.015291780233383179,0.011998921632766724,10,15,these
01,01,audio,5,0.012273650616407394,False,0.012666523456573486,0.005892306566238403,32,36,when
01,01,audio,9,0.0078512504696846,False,0.012171506881713867,0.004884272813796997,58,62,belt
01,01,audio,16,0.012607782147824764,False,0.011758118867874146,0.0036934614181518555,96,100,belt
01,01,audio,1,0.012506148777902126,False,0.011613816022872925,0.01020100712776184,0,9,Replacing
01,01,audio,8,0.011828587390482426,False,0.011525243520736694,0.00419965386390686,51,57,timing
01,01,audio,22,0.012639781460165977,False,0.010595142841339111,0.0046434104442596436,125,137,requirements
01,01,audio,7,0.010105958208441734,False,0.010327309370040894,0.004141300916671753,47,50,the
01,01,text,15,0.021271437406539917,False,0.010259091854095459,0.015313297510147095,92,95,new
01,01,audio,17,0.011068209074437618,False,0.009784460067749023,0.005005568265914917,101,109,performs
01,01,text,5,0.020356636494398117,False,-0.009711146354675293,-0.006497412919998169,32,36,when
01,01,text,3,0.03445517644286156,True,-0.009137183427810669,-0.006231218576431274,16,20,wear
01,01,text,4,0.022191815078258514,False,-0.009047180414199829,-0.008689731359481812,21,31,components
01,01,audio,18,0.00781472958624363,False,0.008680641651153564,0.0035462677478790283,110,112,to
01,01,text,13,0.01933782920241356,False,0.007987767457962036,0.011235147714614868,79,87,ensuring
01,01,vision,4,0.01771455444395542,False,-0.00797128677368164,-0.01406484842300415,21,31,components
01,01,audio,15,0.0070430501364171505,False,0.007564365863800049,0.0018128752708435059,92,95,new
01,01,audio,11,0.006239005830138922,False,0.007528811693191528,0.0026113688945770264,66,75,essential
01,01,audio,19,0.008118195459246635,False,0.007349729537963867,0.001953035593032837,113,116,its
01,01,text,22,0.018666109070181847,False,-0.007214099168777466,-0.0036801397800445557,125,137,requirements
