file_id,seed,polarity,intensity,negative_probability,neutral_probability,positive_probability
附件3_01,20260924,Neutral,-0.11570191383361816,0.391714870929718,0.40401750802993774,0.20426765084266663
附件3_02,20260924,Neutral,-0.17032647132873535,0.27795517444610596,0.583175003528595,0.13886982202529907
附件3_03,20260924,Neutral,0.23062896728515625,0.11919628083705902,0.5007591247558594,0.3800445795059204
附件3_04,20260924,Positive,0.6536909341812134,0.0652555376291275,0.2246294915676117,0.7101149559020996
附件3_05,20260924,Negative,-0.5446058511734009,0.6119594573974609,0.2563400864601135,0.13170041143894196
附件3_06,20260924,Positive,0.7960659265518188,0.03159836307168007,0.20719479024410248,0.7612067461013794
附件3_07,20260924,Neutral,0.07997666299343109,0.20323728024959564,0.5034359097480774,0.29332679510116577
附件3_08,20260924,Negative,-0.3293304145336151,0.4493003487586975,0.36619749665260315,0.18450219929218292
附件3_09,20260924,Positive,1.1911652088165283,0.01081963162869215,0.06310143321752548,0.9260790348052979
附件3_10,20260924,Neutral,-0.06246227025985718,0.14172792434692383,0.6946828961372375,0.16358916461467743
附件3_11,20260924,Neutral,0.19542959332466125,0.13646075129508972,0.45655763149261475,0.4069816470146179
附件3_12,20260924,Positive,0.2883330285549164,0.12267906963825226,0.4249028265476227,0.45241814851760864
附件3_13,20260924,Positive,0.40441474318504333,0.10990512371063232,0.3430277407169342,0.5470671057701111
附件3_14,20260924,Negative,-0.2389242947101593,0.48485836386680603,0.327779084444046,0.18736262619495392
附件3_15,20260924,Positive,0.9720519781112671,0.0160989947617054,0.12083262205123901,0.8630684018135071
附件3_16,20260924,Positive,1.7701746225357056,0.002301874104887247,0.008007117547094822,0.9896910190582275
附件3_17,20260924,Negative,-0.23175516724586487,0.4384123980998993,0.41907933354377747,0.14250826835632324
附件3_18,20260924,Positive,0.31615734100341797,0.1568611115217209,0.35481512546539307,0.48832374811172485
附件3_19,20260924,Negative,-0.31250450015068054,0.4485049545764923,0.4150536358356476,0.1364414393901825
